drug_idx,action_idx
0,4
1,0
2,4
3,4
4,4
5,4
6,0
7,4
8,4
9,4
10,4
11,4
12,3
13,4
14,4
15,0
16,4
17,0
18,4
19,4
20,0
21,0
22,0
23,4
24,4
25,0
26,4
27,0
28,0
29,4
30,0
31,2
32,4
33,4
34,0
35,4
36,4
37,4
38,1
39,0
40,1
41,4
42,4
43,0
44,4
45,0
46,4
47,0
48,4
49,4
50,4
51,0
52,4
53,4
54,4
55,4
56,4
57,0
58,0
59,0
60,4
61,0
62,0
63,4
64,4
65,4
66,4
67,0
68,0
69,4
70,0
71,4
72,0
73,4
74,4
75,4
76,4
77,4
78,0
79,2
80,0
81,3
82,2
83,0
84,0
85,4
86,0
87,3
88,4
89,4
90,4
91,0
92,4
93,0
94,0
95,0
96,4
97,4
98,0
99,4
100,4
101,4
102,4
103,4
104,0
105,4
106,0
107,4
108,4
109,0
110,4
111,4
112,4
113,4
114,0
115,0
116,0
117,0
118,4
119,4
120,0
121,2
122,2
123,0
124,4
125,4
126,4
127,4
128,4
129,0
130,4
131,4
132,4
133,0
134,4
135,2
136,4
137,0
138,4
139,4
140,4
141,0
142,4
143,4
144,4
145,4
146,4
147,0
148,0
149,0
150,4
151,4
152,0
153,0
154,0
155,4
156,4
157,4
158,0
159,4
160,4
161,0
162,4
163,1
164,4
165,0
166,0
167,4
168,4
169,4
170,0
171,4
172,0
173,4
174,4
175,4
176,4
177,0
178,0
179,0
180,0
181,4
182,4
183,0
184,0
185,4
186,4
187,4
188,4
189,0
190,0
191,4
192,0
193,4
194,4
195,0
196,3
197,0
198,0
199,0
200,4
201,0
202,0
203,4
204,4
205,4
206,4
207,0
208,4
209,0
210,4
211,0
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,2
221,4
222,4
223,2
224,4
225,4
226,4
227,2
228,4
229,4
230,2
231,4
232,2
233,4
234,4
235,0
236,0
237,2
238,4
239,4
240,4
241,4
242,4
243,4
244,0
245,2
246,0
247,4
248,4
249,4
250,4
251,4
252,0
253,0
254,0
255,0
256,4
257,4
258,0
259,4
260,1
261,0
262,0
263,0
264,4
265,2
266,2
267,4
268,0
