drug_idx,disease_idx
213,0
541,0
8,0
680,0
961,0
1032,0
1033,0
29,0
32,0
41,0
559,0
960,0
74,0
97,0
142,0
148,0
194,0
568,0
245,0
157,0
256,0
270,0
248,0
1107,0
319,0
181,0
446,0
731,0
410,0
828,0
317,0
755,0
665,0
386,0
394,0
450,0
891,0
816,0
693,0
560,0
562,0
561,0
155,0
701,0
584,0
1048,0
999,0
655,0
431,0
1212,0
1265,0
728,0
745,0
1130,0
859,0
862,0
871,0
876,0
878,0
599,0
975,0
1039,0
1041,0
1047,0
1073,0
1208,0
1199,0
1205,0
1211,0
762,0
844,0
271,0
402,0
5,0
974,0
763,0
11,0
777,0
19,0
81,0
26,0
28,0
30,0
31,0
760,0
37,0
1138,0
38,0
44,0
1106,0
52,0
47,0
49,0
51,0
55,0
57,0
582,0
60,0
62,0
362,0
64,0
65,0
67,0
922,0
1203,0
69,0
70,0
71,0
72,0
73,0
76,0
77,0
78,0
79,0
82,0
83,0
84,0
85,0
86,0
91,0
92,0
95,0
104,0
106,0
108,0
117,0
118,0
119,0
121,0
122,0
123,0
128,0
130,0
133,0
136,0
139,0
140,0
943,0
144,0
145,0
147,0
353,0
150,0
151,0
154,0
159,0
160,0
168,0
169,0
172,0
175,0
176,0
177,0
178,0
179,0
180,0
183,0
184,0
185,0
186,0
188,0
190,0
192,0
1302,0
193,0
0,0
197,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
208,0
212,0
127,0
214,0
215,0
217,0
218,0
219,0
222,0
224,0
226,0
228,0
230,0
238,0
231,0
233,0
234,0
235,0
236,0
237,0
223,0
239,0
240,0
242,0
244,0
246,0
247,0
250,0
1206,0
251,0
252,0
253,0
254,0
255,0
259,0
261,0
262,0
263,0
265,0
266,0
268,0
269,0
273,0
275,0
276,0
277,0
278,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
292,0
293,0
294,0
308,0
309,0
311,0
312,0
313,0
1286,0
314,0
315,0
327,0
328,0
330,0
88,0
335,0
336,0
340,0
346,0
351,0
80,0
358,0
360,0
363,0
364,0
366,0
365,0
367,0
368,0
369,0
370,0
372,0
373,0
432,0
374,0
375,0
376,0
377,0
379,0
381,0
382,0
383,0
384,0
385,0
1291,0
56,0
388,0
390,0
392,0
393,0
396,0
397,0
398,0
399,0
400,0
405,0
662,0
409,0
413,0
1245,0
414,0
416,0
417,0
422,0
216,0
425,0
430,0
1313,0
436,0
