drug_name,drug_idx
"1,25(oh)2d3",0
17-hydroxyprogesterone,1
18f-fdg,2
18f-flutemetamol,3
2-hydroxysuccinaldehyde,4
4-ap,5
4-methylpyrazole,6
4-pba,7
5-aminolevulinic,8
5-asa,9
5-aza-2'-deoxycytidine,10
5-azacytidine,11
5-fluorocytosine,12
5-fu,13
6-mercaptopurine,14
6-thioguanine,15
68ga,16
8-mop,17
a77,18
abacavir,19
abacavir-lamivudine,20
abarelix,21
abiraterone,22
ac1o3ha7,23
acamprosate,24
acarbose,25
acebutolol,26
acenocoumarol,27
acetaminophen,28
acetate,29
acetazolamide,30
acetohydroxamic,31
acetylcholine,32
acipimox,33
acitretin,34
aclidinium,35
acth(1-39,36
actinomycin,37
acyclovir,38
adapalene,39
adefovir,40
adenosine,41
afatinib,42
agomelatine,43
albendazole,44
alcaftadine,45
alclometasone,46
alendronate,47
alfentanil,48
alfuzosin,49
aliskiren,50
allopurinol,51
almeta,52
almotriptan,53
alogliptin,54
alosetron,55
alpha-methyl-p-tyrosine,56
alprazolam,57
alvimopan,58
alx,59
amantadine,60
ambrisentan,61
amcinonide,62
amd3100,63
amifostine,64
amikacin,65
amiloride,66
aminoglutethimide,67
aminophylline,68
amiodarone,69
amisulpride,70
amitriptyline,71
amlexanox,72
amlodipine,73
ammonia,74
ammonium,75
amobarbital,76
amorolfine,77
amoxapine,78
amoxicillin,79
amphetamine,80
amphotericin,81
ampicillin,82
amprenavir,83
amsacrine,84
anagrelide,85
anastrozole,86
anidulafungin,87
anthracycline,88
apas,89
apixaban,90
apomorphine,91
apraclonidine,92
apremilast,93
aprepitant,94
argatroban,95
argenine,96
arginine,97
aripiprazole,98
arsenic,99
articaine,100
ascorbate,101
asenapine,102
asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,103
aspirin,104
atazanavir,105
atenolol,106
atomoxetine,107
atorvastatin,108
atosiban,109
atovaquone,110
atracurium,111
atropine,112
auranofin,113
avanafil,114
axitinib,115
azarga,116
azathioprine,117
azelaic,118
azelastine,119
azilsartan,120
azithromycin,121
aztreonam,122
baclofen,123
balsalazide,124
barium,125
bazedoxifene,126
bcnu,127
beclomethasone,128
belinostat,129
benazepril,130
benazeprilat,131
bendamustine,132
bendrofluazide,133
benicar-hct,134
benzathine,135
benzocaine,136
benzonatate,137
benzoyl,138
benzphetamine,139
benztropine,140
benzydamine,141
benzyl,142
benzylpenicilloyl,143
bepotastine,144
bepridil,145
besifloxacin,146
betahistine,147
betaine,148
betamethasone,149
betaxolol,150
bethanechol,151
bexarotene,152
bezafibrate,153
bicalutamide,154
bicarbonate,155
biguanide,156
bile,157
bimatoprost,158
bisacodyl,159
bisoprolol,160
bivalirudin,161
bleomycin,162
boceprevir,163
bortezomib,164
bosentan,165
bosutinib,166
bpti,167
bretylium,168
brimonidine,169
brinzolamide,170
brolene,171
bromazepam,172
bromcresol,173
bromfenac,174
bromhexine,175
bromocriptine,176
budesonide,177
bumetanide,178
bupivacaine,179
buprenorphine,180
bupropion,181
buscopan,182
buspirone,183
busulfan,184
butabarbital,185
butenafine,186
butoconazole,187
butorphanol,188
cabazitaxel,189
cabergoline,190
cabozantinib,191
caffeine,192
calcipotriol,193
calcium,194
canagliflozin,195
cancidas,196
candesartan,197
cantril,198
capecitabine,199
capreomycin,200
capsaicin,201
captopril,202
carbachol,203
carbamazepine,204
carbenicillin,205
carbidopa,206
carbimazole,207
carbinoxamine,208
carboplatin,209
carboprost,210
carfilzomib,211
carisoprodol,212
carnitine,213
carteolol,214
carvedilol,215
cas,216
cefaclor,217
cefadroxil,218
cefazolin,219
cefdinir,220
cefditoren,221
cefepime,222
cefixime,223
cefotaxime,224
cefotetan,225
cefoxitin,226
cefpodoxime,227
cefprozil,228
ceftaroline,229
ceftazidime,230
ceftizoxime,231
ceftobiprole,232
ceftriaxone,233
cefuroxime,234
celecoxib,235
celiprolol,236
cephalexin,237
cephem,238
cerivastatin,239
cetirizine,240
cetrorelix,241
cevimeline,242
cgp,243
chlorambucil,244
chloramphenicol,245
chlordiazepoxide,246
chlorhexidine,247
chloride,248
chloroprocaine,249
chloroquine,250
chlorpheniramine,251
chlorpromazine,252
chlorpropamide,253
chlorthalidone,254
chlorzoxazone,255
choline,256
chromium,257
ciclesonide,258
ciclopirox,259
cidofovir,260
cilazapril,261
cilostazol,262
cimetidine,263
cinacalcet,264
cinoxacin,265
ciprofloxacin,266
cisatracurium,267
cisplatin,268
citalopram,269
citric,270
cladribine,271
clarithromycin,272
clemastine,273
clevidipine,274
clindamycin,275
clobazam,276
clobetasol,277
clobetasone,278
clocortolone,279
clodronate,280
clofarabine,281
clofazimine,282
clomiphene,283
clomipramine,284
clonazepam,285
clonidine,286
clopidogrel,287
clorazepate,288
clotrimazole,289
clozapine,290
cobicistat,291
cocaine,292
codeine,293
colchicine,294
colesevelam,295
colestimide,296
colestipol,297
colestyramine,298
colimycin,299
conivaptan,300
conjugated,301
copolymer,302
copper,303
cortisol,304
cortisone,305
cosyntropin,306
crizotinib,307
crotamiton,308
cyanocobalamin,309
cyclizine,310
cyclobenzaprine,311
cyclopentolate,312
cyclophosphamide,313
cyproheptadine,314
cyproterone,315
cysteamine,316
cytarabine,317
cytokinin,318
d-cycloserine,319
d-penicillamine,320
d-telaprevir,321
dabigatran,322
dabrafenib,323
dacarbazine,324
dalbavancin,325
dalteparin,326
danazol,327
dantrolene,328
dapagliflozin,329
dapsone,330
darifenacin,331
darunavir,332
dasatinib,333
deferasirox,334
deferiprone,335
deferoxamine,336
degarelix,337
delamanid,338
delavirdine,339
delta,340
demeclocycline,341
demethyl,342
deprenyl,343
depreotide,344
desflurane,345
desipramine,346
desloratadine,347
desmopressin,348
desogestrel,349
desonide,350
desoximetasone,351
desvenlafaxine,352
dexamethasone,353
dexmedetomidine,354
dexpanthenol,355
dexrazoxane,356
dextran,357
dextromethorphan,358
dextrorphan,359
dfmo,360
diane-35,361
diatrizoate,362
diazepam,363
diazoxide,364
dichlorphenamide,365
diclofenac,366
dicloxacillin,367
dicyclomine,368
didanosine,369
diethylenetriaminepentaacetic,370
diethylpropion,371
diflorasone,372
diflunisal,373
digoxin,374
dihydrocodeine,375
dihydroergotamine,376
diltiazem,377
dimenhydrinate,378
dimercaprol,379
dimercaptosuccinic,380
diphenhydramine,381
dipivefrin,382
dipyridamole,383
disopyramide,384
disulfiram,385
dmso,386
dobutamine,387
docetaxel,388
dofetilide,389
dolasetron,390
dolutegravir,391
domperidone,392
donepezil,393
dopamine,394
doripenem,395
dorzolamide,396
dothiepin,397
doxapram,398
doxazosin,399
doxepin,400
doxercalciferol,401
