side_effect_name,side_effect_idx
abdominal cramps,0
abdominal discomfort,1
abdominal distension,2
abdominal pain,3
abdominal pain upper,4
abnormal dreams,5
abnormal vision,6
abscess,7
accidental injury,8
acne,9
acute coronary syndrome,10
affect lability,11
ageusia,12
aggression,13
agitation,14
agranulocytosis,15
alanine aminotransferase increased,16
albuminuria,17
alopecia,18
amblyopia,19
amenorrhoea,20
amnesia,21
anaemia,22
anaphylactic shock,23
anaphylactoid reaction,24
angina pectoris,25
angioedema,26
angiopathy,27
anorexia,28
anxiety,29
aplastic anaemia,30
apnoea,31
arrhythmia,32
arthralgia,33
arthritis,34
arthropathy,35
aspartate aminotransferase increased,36
asthenia,37
asthma,38
ataxia,39
atrial fibrillation,40
atrioventricular block,41
back pain,42
bladder pain,43
blister,44
blood alkaline phosphatase increased,45
blood and lymphatic system disorders,46
blood bilirubin increased,47
blood creatinine increased,48
blood disorder,49
blood pressure increased,50
blood urea increased,51
blood uric acid increased,52
body temperature increased,53
bone disorder,54
bone pain,55
bradycardia,56
breast disorder,57
breast pain,58
bronchitis,59
bronchospasm,60
burning sensation,61
candida infection,62
cardiac arrest,63
cardiac disorder,64
cardiac failure,65
cardiac failure congestive,66
cardiovascular disorder,67
cataract,68
cellulitis,69
cerebrovascular accident,70
chest discomfort,71
chest pain,72
chills,73
cholestasis,74
coagulopathy,75
colitis,76
coma,77
confusional state,78
conjunctivitis,79
connective tissue disorder,80
constipation,81
contusion,82
convulsion,83
coordination abnormal,84
cough,85
cough increased,86
cramp muscle,87
cramps of lower extremities,88
creatinine increased,89
cyanosis,90
cystitis,91
cystitis noninfective,92
deafness,93
decreased appetite,94
deep vein thrombosis,95
dehydration,96
delirium,97
delusion,98
depressed level of consciousness,99
depression,100
dermatitis,101
dermatitis atopic,102
dermatitis bullous,103
dermatitis contact,104
dermatitis exfoliative,105
diabetes mellitus,106
diarrhoea,107
diplopia,108
discomfort,109
disorientation,110
disturbance in attention,111
disturbance in sexual arousal,112
dizziness,113
drowsiness,114
drug interaction,115
dry eye,116
dry mouth,117
dry skin,118
dysarthria,119
dysgeusia,120
dyskinesia,121
dysmenorrhoea,122
dyspepsia,123
dysphagia,124
dysphonia,125
dyspnoea,126
dysuria,127
ear and labyrinth disorders,128
ear pain,129
ecchymosis,130
eczema,131
endocrine disorder,132
eosinophilia,133
epistaxis,134
erectile dysfunction,135
eructation,136
erythema,137
erythema multiforme,138
euphoric mood,139
extrapyramidal disorder,140
extrasystoles,141
extravasation,142
eye disorder,143
