drug_idx,split
307,train
1140,train
1306,train
1130,train
69,train
1250,train
1059,train
255,train
278,train
688,train
295,train
57,train
858,train
48,train
820,train
571,train
73,train
394,train
114,train
552,train
844,train
962,train
1139,train
955,train
125,train
1287,train
189,train
378,train
56,train
1335,train
1027,train
507,train
949,train
564,train
412,train
591,train
170,train
138,train
325,train
1308,train
1030,train
165,train
107,train
478,train
526,train
467,train
993,train
418,train
849,train
28,train
171,train
810,train
995,train
886,train
1143,train
514,train
150,train
523,train
202,train
1281,train
651,train
940,train
172,train
671,train
188,train
563,train
826,train
250,train
1065,train
46,train
1062,train
1115,train
989,train
842,train
973,train
43,train
705,train
713,train
243,train
371,train
8,train
49,train
806,train
598,train
401,train
1120,train
312,train
521,train
696,train
458,train
960,train
393,train
587,train
425,train
677,train
525,train
143,train
833,train
1262,train
1135,train
1107,train
1271,train
1203,train
629,train
917,train
994,train
628,train
496,train
927,train
1077,train
944,train
1244,train
141,train
115,train
1256,train
1312,train
739,train
314,train
980,train
1247,train
1289,train
876,train
327,train
1090,train
796,train
384,train
952,train
1002,train
540,train
930,train
136,train
489,train
181,train
700,train
484,train
805,train
132,train
920,train
763,train
445,train
337,train
1013,train
438,train
279,train
423,train
799,train
517,train
1087,train
315,train
660,train
590,train
1214,train
54,train
915,train
1083,train
85,train
933,train
547,train
1258,train
1064,train
908,train
863,train
537,train
1162,train
845,train
1153,train
745,train
1125,train
201,train
259,train
105,train
913,train
456,train
1319,train
577,train
196,train
934,train
217,train
1014,train
907,train
800,train
914,train
929,train
40,train
541,train
762,train
1183,train
36,train
579,train
35,train
3,train
203,train
501,train
323,train
353,train
119,train
1048,train
1092,train
455,train
1035,train
237,train
204,train
1291,train
111,train
310,train
1150,train
757,train
283,train
206,train
1338,train
100,train
376,train
408,train
969,train
518,train
535,train
738,train
238,train
698,train
626,train
1121,train
499,train
483,train
471,train
264,train
576,train
91,train
126,train
556,train
228,train
830,train
1170,train
11,train
719,train
768,train
524,train
722,train
1236,train
190,train
488,train
223,train
1294,train
112,train
649,train
1299,train
640,train
1220,train
716,train
1066,train
1089,train
1213,train
1269,train
983,train
1229,train
931,train
883,train
638,train
109,train
4,train
987,train
1233,train
326,train
229,train
804,train
422,train
220,train
367,train
599,train
1070,train
414,train
1040,train
684,train
481,train
836,train
1080,train
1112,train
158,train
1029,train
1091,train
1101,train
775,train
1050,train
267,train
1151,train
560,train
285,train
439,train
1286,train
675,train
62,train
1075,train
1003,train
174,train
701,train
399,train
765,train
20,train
725,train
972,train
94,train
1161,train
737,train
1201,train
258,train
510,train
63,train
86,train
153,train
832,train
941,train
727,train
485,train
152,train
581,train
1190,train
10,train
756,train
1270,train
532,train
497,train
1175,train
15,train
573,train
506,train
288,train
254,train
416,train
697,train
1157,train
1086,train
470,train
834,train
811,train
