symptom_name,symptom_idx
5'nucleotidase increased,0
abasia,1
abdominal abscess,2
abdominal adhesions,3
abdominal aortic aneurysm,4
abdominal aortic bruit,5
abdominal aortic rupture,6
abdominal bloating,7
abdominal colic,8
abdominal cramps,9
abdominal discomfort,10
abdominal disorder,11
abdominal distension,12
abdominal distension gaseous,13
abdominal distress,14
abdominal hernia,15
abdominal infection,16
abdominal injury,17
abdominal neoplasm,18
abdominal pain,19
abdominal pain aggravated,20
abdominal pain generalised,21
abdominal pain localised,22
abdominal pain lower,23
abdominal pain upper,24
abdominal rigidity,25
abdominal sepsis,26
abdominal spasm,27
abdominal strangulated hernia,28
abdominal symptom,29
abdominal tenderness,30
abdominal wall abscess,31
abnormal behaviour,32
abnormal bowel sounds,33
abnormal chest sounds nos,34
abnormal clotting factor,35
abnormal dreams,36
abnormal ejaculation,37
abnormal eye movements nos,38
abnormal faeces,39
abnormal involuntary movements,40
abnormal labour,41
abnormal pigmentation,42
abnormal platelets,43
abnormal sensation in eye,44
abnormal sleep-related event,45
abnormal vision,46
abnormal withdrawal bleeding,47
abnormalities of the hair,48
abortion,49
abortion incomplete,50
abortion infected,51
abortion missed,52
abortion spontaneous,53
abrasion nos,54
abscess,55
abscess limb,56
abscess periodontal,57
abscess sterile,58
abscesses of skin,59
absolute neutrophil count decreased,60
acalculous cholecystitis,61
acanthosis nigricans,62
acarodermatitis,63
accelerated hair loss,64
accident,65
accident at home,66
accidental exposure to product,67
accidental ingestion,68
accidental injury,69
accidental overdose,70
accommodation disorder,71
acetonaemia,72
ache,73
ache wrists,74
acholia,75
acid indigestion,76
acid phosphatase high,77
acidemia,78
acidosis,79
acidosis hyperchloraemic,80
acne,81
acne cystic,82
acne fulminans,83
acne infantile,84
acne pustular,85
acne vulgaris,86
acneiform eruption,87
acquired haemophilia,88
acquired immunodeficiency syndrome,89
acquired keratoderma,90
acquired lipoatrophic diabetes,91
acquired megacolon,92
acquired night blindness,93
acral erythema,94
acrochordon,95
acrodynia,96
acromegaly,97
actinic keratosis,98
action tremor,99
activated partial thromboplastin time prolonged,100
activated partial thromboplastin time shortened,101
activation syndrome,102
acute abdomen,103
acute allergic reaction,104
acute allograft rejection,105
acute anaphylaxis,106
acute angle-closure glaucoma,107
acute appendicitis,108
acute bronchitis,109
acute cardiac toxicity,110
acute chest pain,111
acute cholestatic hepatitis,112
acute confusional state,113
acute coronary syndrome,114
acute cystitis,115
acute cytolytic hepatitis,116
acute depression,117
acute diarrhea,118
acute disseminated encephalomyelitis,119
acute dyspnea,120
acute dystonia,121
acute enterocolitis,122
acute fatty liver,123
acute febrile illness,124
acute febrile neutrophilic dermatosis,125
acute gastritis,126
acute gastroenteritis,127
acute generalised exanthematous pustulosis,128
acute glaucoma,129
acute graft versus host disease,130
acute haemolytic anaemia,131
acute hepatic failure,132
acute interstitial nephritis,133
acute interstitial pneumonitis,134
acute kidney injury,135
acute leukaemia,136
acute liver damage,137
acute liver injury,138
acute lymphocytic leukaemia,139
acute migraine,140
acute myeloid leukaemia,141
acute myocardial infarction,142
acute myocardial ischemia,143
acute nephritis,144
acute overdose,145
acute pain,146
acute phase reaction,147
acute phosphate nephropathy,148
acute prerenal failure,149
acute promyelocytic leukaemia,150
acute promyelocytic leukaemia differentiation syndrome,151
acute psychosis,152
acute pulmonary oedema,153
acute renal insufficiency,154
acute respiratory distress syndrome,155
acute respiratory failure,156
