drug_name,action_class
carnitine,other
gamma-aminobutyric,other
5-aminolevulinic,other
leucovorin,other
5-methyltetrahydrofolate,other
pge2,other
prostacyclin,other
prostaglandin,other
acetate,other
acetylcholine,other
adenosine,other
glucose,other
pge1,other
ammonia,other
arginine,other
benzyl,other
betaine,human_cell
calcium,other
graphene,other
chloramphenicol,bacteria
bile,other
choline,other
citric,other
chloride,other
salicylate,other
d-cycloserine,bacteria
bupropion,other
estradiol,human_cell
mannitol,other
eaca,human_cell
n-acetylcysteine,other
cytarabine,human_cell
mesna,other
lactate,other
dmso,bacteria
dopamine,other
estrone,other
oestrogen,human_cell
monoethanolamine,other
lindane,human_cell
glutamine,other
glycine,other
glycerol,human_cell
bicarbonate,other
lmwh,other
histamine,other
quinol,other
potassium,other
kanamycin,other
epinephrine,human_cell
thyroxine,other
triiodothyronine,other
magnesium,other
melatonin,human_cell
sodium,other
niacin,other
nicotine,human_cell
nitrite,other
nitrous,other
norepinephrine,other
hydroxyl,other
phosphate,other
pyrazinamide,bacteria
pyridoxine,other
quinidine,other
retinol,other
thiosulfate,other
tetrahydrobiopterin,other
thiamine,other
thymidine,other
methamphetamine,other
naproxen,human_cell
cladribine,human_cell
doxorubicin,other
4-ap,other
phenytoin,human_cell
methazolamide,human_cell
5-azacytidine,other
methylprednisolone,human_cell
abacavir,other
amphotericin,fungus
acebutolol,other
acetaminophen,human_cell
acetazolamide,human_cell
acetohydroxamic,bacteria
methacholine,other
actinomycin,other
spectinomycin,other
acyclovir,virus
albendazole,other
salbutamol,human_cell
almeta,other
alendronate,human_cell
alfuzosin,other
allopurinol,human_cell
alosetron,other
alprazolam,human_cell
hexamethylmelamine,human_cell
amantadine,other
amcinonide,human_cell
diatrizoate,other
amifostine,other
amikacin,other
aminoglutethimide,human_cell
p-aminohippurate,other
theophylline,human_cell
amiodarone,other
amisulpride,human_cell
amitriptyline,other
amlexanox,human_cell
amlodipine,other
amobarbital,other
amorolfine,other
amoxapine,human_cell
amoxicillin,bacteria
ampicillin,bacteria
amprenavir,human_cell
amsacrine,human_cell
anagrelide,other
anastrozole,human_cell
apomorphine,human_cell
apraclonidine,other
argatroban,human_cell
aspirin,human_cell
atenolol,human_cell
atorvastatin,other
azathioprine,human_cell
azelaic,other
azelastine,other
azithromycin,bacteria
aztreonam,bacteria
baclofen,human_cell
beclomethasone,other
benazepril,other
bendrofluazide,human_cell
benzocaine,other
benzphetamine,other
benztropine,other
penicillin,other
bepotastine,other
bepridil,other
betahistine,human_cell
dexamethasone,human_cell
betaxolol,other
bethanechol,other
bicalutamide,human_cell
bisacodyl,other
bisoprolol,other
bretylium,other
brimonidine,other
bromazepam,human_cell
bromhexine,other
bromocriptine,other
budesonide,human_cell
bumetanide,human_cell
bupivacaine,human_cell
buprenorphine,human_cell
buspirone,human_cell
busulfan,human_cell
butabarbital,other
butenafine,other
butorphanol,other
cabergoline,human_cell
caffeine,human_cell
verapamil,other
calcipotriol,other
"1,25(oh)2d3",other
candesartan,human_cell
capreomycin,other
capsaicin,human_cell
captopril,human_cell
carbachol,other
carbamazepine,other
carbenicillin,other
carbidopa,other
carbinoxamine,other
carisoprodol,other
bcnu,other
carteolol,other
carvedilol,other
cefaclor,other
cefadroxil,other
cefazolin,other
cefepime,other
cefotaxime,other
cefoxitin,other
cefprozil,other
ceftazidime,bacteria
cephem,other
ceftizoxime,other
ceftriaxone,other
cefuroxime,other
celecoxib,human_cell
celiprolol,human_cell
cephalexin,bacteria
cefixime,bacteria
cerivastatin,other
cetirizine,other
cevimeline,other
chlorambucil,human_cell
chlordiazepoxide,human_cell
chlorhexidine,other
chloroquine,other
thiazide,other
chlorpheniramine,other
chlorpromazine,human_cell
chlorpropamide,human_cell
chlorthalidone,human_cell
chlorzoxazone,human_cell
ciclopirox,other
cilazapril,human_cell
cilostazol,human_cell
cimetidine,human_cell
cinoxacin,bacteria
ciprofloxacin,bacteria
cisplatin,human_cell
citalopram,other
clemastine,other
clindamycin,other
clobazam,human_cell
clobetasol,other
clobetasone,other
clofazimine,bacteria
clomiphene,other
clomipramine,other
clonazepam,human_cell
clonidine,human_cell
clopidogrel,other
clorazepate,other
clotrimazole,fungus
clozapine,human_cell
cocaine,other
codeine,human_cell
colchicine,human_cell
crotamiton,other
cyanocobalamin,other
cyclobenzaprine,other
cyclopentolate,other
cyclophosphamide,human_cell
v,other
cyproheptadine,other
cyproterone,other
danazol,human_cell
dantrolene,other
dapsone,bacteria
anthracycline,other
deferiprone,other
deferoxamine,other
delta,other
desipramine,other
desoximetasone,human_cell
amphetamine,human_cell
dextromethorphan,other
dfmo,other
diazepam,human_cell
diazoxide,human_cell
diclofenac,human_cell
dichlorphenamide,human_cell
dicloxacillin,other
dicyclomine,other
didanosine,human_cell
diethylenetriaminepentaacetic,other
diflorasone,human_cell
diflunisal,human_cell
epitopic,other
digoxin,human_cell
dihydrocodeine,other
dihydroergotamine,other
diltiazem,other
dimercaprol,other
diphenhydramine,other
dipivefrin,other
dipyridamole,human_cell
disopyramide,other
disulfiram,human_cell
valproate,human_cell
alpha-methyl-p-tyrosine,other
docetaxel,human_cell
dolasetron,other
domperidone,human_cell
donepezil,other
dorzolamide,other
dothiepin,human_cell
doxapram,other
doxazosin,other
doxepin,human_cell
droperidol,human_cell
l-threo-dops,human_cell
dyphylline,human_cell
econazole,other
trabectedin,human_cell
edrophonium,other
efavirenz,human_cell
eicosapentaenoic,other
emedastine,other
cas,other
enflurane,human_cell
epinastine,other
vitamin,other
ergonovine,other
ergotamine,other
erythromycin,bacteria
monomycin,other
estazolam,human_cell
estramustine,other
estriol,human_cell
ethacrynic,human_cell
ethambutol,other
ethosuximide,human_cell
ethotoin,human_cell
etidronate,human_cell
etodolac,human_cell
etoposide,human_cell
famciclovir,virus
famotidine,human_cell
felbamate,human_cell
felodipine,human_cell
fenofibrate,human_cell
fenoldopam,other
fenoprofen,other
fentanyl,human_cell
fexofenadine,other
finasteride,human_cell
flavoxate,other
flecainide,other
fdurd,other
flucloxacillin,other
fluconazole,fungus
5-fluorocytosine,fungus
fludarabine,other
famp,other
fludrocortisone,other
fluphenazine,other
flumazenil,human_cell
flumethasone,other
flunisolide,human_cell
flunitrazepam,human_cell
fluocinolone,other
fluocinonide,human_cell
fluorometholone,human_cell
5-fu,other
fluoxetine,other
fluoxymesterone,human_cell
flurandrenolone,human_cell
flurazepam,other
flurbiprofen,human_cell
flutamide,human_cell
fluticasone,other
fluvastatin,other
fluvoxamine,other
folate,other
4-methylpyrazole,human_cell
formoterol,other
foscarnet,other
fosfomycin,other
fosinopril,other
romidepsin,human_cell
furosemide,human_cell
fusidic,bacteria
gabapentin,human_cell
galantamine,other
ganciclovir,virus
gemcitabine,other
gemeprost,other
gemfibrozil,human_cell
gentamicin,other
gliclazide,human_cell
glimepiride,human_cell
glipizide,human_cell
glibenclamide,human_cell
glycopyrrolate,other
granisetron,human_cell
griseofulvin,other
guaifenesin,other
icodextrin,other
guanfacine,other
guanidinium,other
halcinonide,human_cell
haloperidol,human_cell
hexachlorophene,bacteria
homatropine,other
buscopan,other
hydralazine,other
hydrochlorothiazide,human_cell
cortisol,other
hydrocortisone,other
hydroflumethiazide,human_cell
hydromorphone,other
hydroxychloroquine,other
hydroxyurea,human_cell
hydroxyzine,other
atropine,other
ibuprofen,human_cell
phenelzine,other
lidocaine,human_cell
idarubicin,other
idurd,other
ifosfamide,human_cell
imipramine,other
indapamide,human_cell
indinavir,other
indomethacin,human_cell
iodixanol,other
iohexol,other
iopamidol,other
iopromide,other
iotrolan,other
iodipamide,other
ioversol,other
ioxaglate,other
ioxilan,other
ipratropium,other
irbesartan,human_cell
irinotecan,other
isocarboxazid,human_cell
isoflurane,human_cell
isoniazid,bacteria
isopropyl,other
isoproterenol,human_cell
isosorbide,other
isoxsuprine,other
isradipine,human_cell
itraconazole,fungus
ketamine,other
ketoconazole,fungus
ketoprofen,human_cell
ketorolac,other
ketotifen,other
cytokinin,other
phenyllactate,other
labetalol,other
lactulose,other
lamivudine,human_cell
lamotrigine,human_cell
lansoprazole,human_cell
latanoprost,human_cell
leflunomide,human_cell
letrozole,human_cell
leuprorelin,other
levobunolol,other
levocabastine,other
levomepromazine,human_cell
dextrorphan,other
lincomycin,bacteria
linezolid,bacteria
lisinopril,human_cell
lisuride,other
lioh,other
lomefloxacin,other
lomustine,human_cell
loperamide,other
loratadine,human_cell
lorazepam,human_cell
losartan,other
lovastatin,other
loxapine,human_cell
mafenide,other
malathion,human_cell
maprotiline,other
mebendazole,other
mebeverine,other
mecamylamine,other
nitrogen,other
monamine,other
meclofenamate,human_cell
medroxyprogesterone,other
medrysone,human_cell
mefenamic,human_cell
mefloquine,other
megestrol,human_cell
meloxicam,human_cell
melphalan,human_cell
memantine,other
cantril,human_cell
meperidine,other
mephenytoin,human_cell
mepivacaine,other
meprobamate,human_cell
5-asa,other
metaproterenol,other
metformin,other
methadone,other
methenamine,other
methocarbamol,human_cell
methotrexate,other
8-mop,human_cell
n-methylscopolamine,other
methyclothiazide,human_cell
methyldopa,human_cell
methylene,human_cell
methylergometrine,other
methylphenidate,human_cell
methyltestosterone,human_cell
methysergide,other
metoclopramide,other
metolazone,human_cell
metoprolol,other
metronidazole,bacteria
metyrapone,human_cell
mexiletine,other
mianserin,other
miconazole,fungus
midazolam,human_cell
midodrine,other
mifepristone,human_cell
milrinone,other
minoxidil,human_cell
