drug_name,disease_name
carnitine,unknown_disease
gamma-aminobutyric,unknown_disease
5-aminolevulinic,unknown_disease
leucovorin,unknown_disease
5-methyltetrahydrofolate,unknown_disease
pge2,unknown_disease
prostacyclin,unknown_disease
prostaglandin,unknown_disease
acetate,unknown_disease
acetylcholine,unknown_disease
adenosine,unknown_disease
glucose,unknown_disease
pge1,unknown_disease
ammonia,unknown_disease
arginine,unknown_disease
benzyl,unknown_disease
betaine,unknown_disease
calcium,unknown_disease
graphene,unknown_disease
chloramphenicol,unknown_disease
bile,unknown_disease
choline,unknown_disease
citric,unknown_disease
chloride,unknown_disease
salicylate,unknown_disease
d-cycloserine,unknown_disease
bupropion,unknown_disease
estradiol,unknown_disease
mannitol,unknown_disease
eaca,unknown_disease
n-acetylcysteine,unknown_disease
cytarabine,unknown_disease
mesna,unknown_disease
lactate,unknown_disease
dmso,unknown_disease
dopamine,unknown_disease
estrone,unknown_disease
oestrogen,unknown_disease
monoethanolamine,unknown_disease
lindane,unknown_disease
glutamine,unknown_disease
glycine,unknown_disease
glycerol,unknown_disease
bicarbonate,unknown_disease
lmwh,unknown_disease
histamine,unknown_disease
quinol,unknown_disease
potassium,unknown_disease
kanamycin,unknown_disease
epinephrine,unknown_disease
thyroxine,unknown_disease
triiodothyronine,unknown_disease
magnesium,unknown_disease
melatonin,unknown_disease
sodium,unknown_disease
niacin,unknown_disease
nicotine,unknown_disease
nitrite,unknown_disease
nitrous,unknown_disease
norepinephrine,unknown_disease
hydroxyl,unknown_disease
phosphate,unknown_disease
pyrazinamide,unknown_disease
pyridoxine,unknown_disease
quinidine,unknown_disease
retinol,unknown_disease
thiosulfate,unknown_disease
tetrahydrobiopterin,unknown_disease
thiamine,unknown_disease
thymidine,unknown_disease
methamphetamine,unknown_disease
naproxen,unknown_disease
cladribine,unknown_disease
doxorubicin,unknown_disease
4-ap,unknown_disease
phenytoin,unknown_disease
methazolamide,unknown_disease
5-azacytidine,unknown_disease
methylprednisolone,unknown_disease
abacavir,unknown_disease
amphotericin,unknown_disease
acebutolol,unknown_disease
acetaminophen,unknown_disease
acetazolamide,unknown_disease
acetohydroxamic,unknown_disease
methacholine,unknown_disease
actinomycin,unknown_disease
spectinomycin,unknown_disease
acyclovir,unknown_disease
albendazole,unknown_disease
salbutamol,unknown_disease
almeta,unknown_disease
alendronate,unknown_disease
alfuzosin,unknown_disease
allopurinol,unknown_disease
alosetron,unknown_disease
alprazolam,unknown_disease
hexamethylmelamine,unknown_disease
amantadine,unknown_disease
amcinonide,unknown_disease
diatrizoate,unknown_disease
amifostine,unknown_disease
amikacin,unknown_disease
aminoglutethimide,unknown_disease
p-aminohippurate,unknown_disease
theophylline,unknown_disease
amiodarone,unknown_disease
amisulpride,unknown_disease
amitriptyline,unknown_disease
amlexanox,unknown_disease
amlodipine,unknown_disease
amobarbital,unknown_disease
amorolfine,unknown_disease
amoxapine,unknown_disease
amoxicillin,unknown_disease
ampicillin,unknown_disease
amprenavir,unknown_disease
amsacrine,unknown_disease
anagrelide,unknown_disease
anastrozole,unknown_disease
apomorphine,unknown_disease
apraclonidine,unknown_disease
argatroban,unknown_disease
aspirin,unknown_disease
atenolol,unknown_disease
atorvastatin,unknown_disease
azathioprine,unknown_disease
azelaic,unknown_disease
azelastine,unknown_disease
azithromycin,unknown_disease
aztreonam,unknown_disease
baclofen,unknown_disease
beclomethasone,unknown_disease
benazepril,unknown_disease
bendrofluazide,unknown_disease
benzocaine,unknown_disease
benzphetamine,unknown_disease
benztropine,unknown_disease
penicillin,unknown_disease
bepotastine,unknown_disease
bepridil,unknown_disease
betahistine,unknown_disease
dexamethasone,unknown_disease
betaxolol,unknown_disease
bethanechol,unknown_disease
bicalutamide,unknown_disease
bisacodyl,unknown_disease
bisoprolol,unknown_disease
bretylium,unknown_disease
brimonidine,unknown_disease
bromazepam,unknown_disease
bromhexine,unknown_disease
bromocriptine,unknown_disease
budesonide,unknown_disease
bumetanide,unknown_disease
bupivacaine,unknown_disease
buprenorphine,unknown_disease
buspirone,unknown_disease
busulfan,unknown_disease
butabarbital,unknown_disease
butenafine,unknown_disease
butorphanol,unknown_disease
cabergoline,unknown_disease
caffeine,unknown_disease
verapamil,unknown_disease
calcipotriol,unknown_disease
"1,25(oh)2d3",unknown_disease
candesartan,unknown_disease
capreomycin,unknown_disease
capsaicin,unknown_disease
captopril,unknown_disease
carbachol,unknown_disease
carbamazepine,unknown_disease
carbenicillin,unknown_disease
carbidopa,unknown_disease
carbinoxamine,unknown_disease
carisoprodol,unknown_disease
bcnu,unknown_disease
carteolol,unknown_disease
carvedilol,unknown_disease
cefaclor,unknown_disease
cefadroxil,unknown_disease
cefazolin,unknown_disease
cefepime,unknown_disease
cefotaxime,unknown_disease
cefoxitin,unknown_disease
cefprozil,unknown_disease
ceftazidime,unknown_disease
cephem,unknown_disease
ceftizoxime,unknown_disease
ceftriaxone,unknown_disease
cefuroxime,unknown_disease
celecoxib,unknown_disease
celiprolol,unknown_disease
cephalexin,unknown_disease
cefixime,unknown_disease
cerivastatin,unknown_disease
cetirizine,unknown_disease
cevimeline,unknown_disease
chlorambucil,unknown_disease
chlordiazepoxide,unknown_disease
chlorhexidine,unknown_disease
chloroquine,unknown_disease
thiazide,unknown_disease
chlorpheniramine,unknown_disease
chlorpromazine,unknown_disease
chlorpropamide,unknown_disease
chlorthalidone,unknown_disease
chlorzoxazone,unknown_disease
ciclopirox,unknown_disease
cilazapril,unknown_disease
cilostazol,unknown_disease
cimetidine,unknown_disease
cinoxacin,unknown_disease
ciprofloxacin,unknown_disease
cisplatin,unknown_disease
citalopram,unknown_disease
clemastine,unknown_disease
clindamycin,unknown_disease
clobazam,unknown_disease
clobetasol,unknown_disease
clobetasone,unknown_disease
clofazimine,unknown_disease
clomiphene,unknown_disease
clomipramine,unknown_disease
clonazepam,unknown_disease
clonidine,unknown_disease
clopidogrel,unknown_disease
clorazepate,unknown_disease
clotrimazole,unknown_disease
clozapine,unknown_disease
cocaine,unknown_disease
codeine,unknown_disease
colchicine,unknown_disease
crotamiton,unknown_disease
cyanocobalamin,unknown_disease
cyclobenzaprine,unknown_disease
cyclopentolate,unknown_disease
cyclophosphamide,unknown_disease
v,unknown_disease
cyproheptadine,unknown_disease
cyproterone,unknown_disease
danazol,unknown_disease
dantrolene,unknown_disease
dapsone,unknown_disease
anthracycline,unknown_disease
deferiprone,unknown_disease
deferoxamine,unknown_disease
delta,unknown_disease
desipramine,unknown_disease
desoximetasone,unknown_disease
amphetamine,unknown_disease
dextromethorphan,unknown_disease
dfmo,unknown_disease
diazepam,unknown_disease
diazoxide,unknown_disease
diclofenac,unknown_disease
dichlorphenamide,unknown_disease
dicloxacillin,unknown_disease
dicyclomine,unknown_disease
didanosine,unknown_disease
diethylenetriaminepentaacetic,unknown_disease
diflorasone,unknown_disease
diflunisal,unknown_disease
epitopic,unknown_disease
digoxin,unknown_disease
dihydrocodeine,unknown_disease
dihydroergotamine,unknown_disease
diltiazem,unknown_disease
dimercaprol,unknown_disease
diphenhydramine,unknown_disease
dipivefrin,unknown_disease
dipyridamole,unknown_disease
disopyramide,unknown_disease
disulfiram,unknown_disease
valproate,unknown_disease
alpha-methyl-p-tyrosine,unknown_disease
docetaxel,unknown_disease
dolasetron,unknown_disease
domperidone,unknown_disease
donepezil,unknown_disease
dorzolamide,unknown_disease
dothiepin,unknown_disease
doxapram,unknown_disease
doxazosin,unknown_disease
