drug_name,symptom_name
carnitine,abdominal cramps
carnitine,abdominal pain
carnitine,gastrointestinal pain
carnitine,amblyopia
carnitine,anaemia
carnitine,anorexia
carnitine,decreased appetite
carnitine,anxiety
carnitine,arrhythmia
carnitine,asthenia
carnitine,atrial fibrillation
carnitine,back pain
carnitine,bronchitis
carnitine,cardiovascular disorder
carnitine,chest pain
carnitine,infection
carnitine,constipation
carnitine,cough
carnitine,depression
carnitine,diarrhoea
carnitine,dizziness
carnitine,dysgeusia
carnitine,dyspepsia
carnitine,dyspnoea
carnitine,rash
carnitine,dermatitis
carnitine,eye disorder
carnitine,body temperature increased
carnitine,gastritis
carnitine,gastrointestinal disorder
carnitine,headache
carnitine,haemorrhage
carnitine,haemoglobin
carnitine,hypercalcaemia
carnitine,hyperkalaemia
carnitine,hypersensitivity
carnitine,hypertension
carnitine,hypotension
carnitine,influenza
carnitine,cramps of lower extremities
carnitine,muscle spasms
carnitine,melaena
carnitine,hypertonia
carnitine,nausea
carnitine,pain
carnitine,palpitations
carnitine,parathyroid disorder
carnitine,paraesthesia
carnitine,pharyngitis
carnitine,pruritus
carnitine,renal failure
carnitine,rhinitis
carnitine,convulsion
carnitine,sinusitis
carnitine,tachycardia
carnitine,urinary tract infection
carnitine,angiopathy
carnitine,vertigo
carnitine,vomiting
carnitine,weight increased
carnitine,weight decreased
carnitine,body odor
carnitine,skin odour abnormal
carnitine,oedema peripheral
carnitine,injection site reaction
carnitine,accidental injury
carnitine,injury
carnitine,gastric atony
carnitine,impaired gastric emptying
carnitine,myalgia
carnitine,musculoskeletal discomfort
carnitine,gastrointestinal symptom nos
carnitine,electrocardiogram abnormal
carnitine,fluid overload
carnitine,insomnia
carnitine,myasthenia
carnitine,muscular weakness
carnitine,drug dependence
gamma-aminobutyric,anaphylactic shock
gamma-aminobutyric,angioedema
gamma-aminobutyric,pain
gamma-aminobutyric,urticaria
gamma-aminobutyric,injection site tenderness
gamma-aminobutyric,injection site pain
5-aminolevulinic,anaemia
5-aminolevulinic,aphasia
5-aminolevulinic,mental disorder
5-aminolevulinic,brain neoplasm
5-aminolevulinic,infection
5-aminolevulinic,diarrhoea
5-aminolevulinic,oedema
5-aminolevulinic,rash
5-aminolevulinic,dermatitis
5-aminolevulinic,excoriation
5-aminolevulinic,eye disorder
5-aminolevulinic,body temperature increased
5-aminolevulinic,gastrointestinal disorder
5-aminolevulinic,glioma
5-aminolevulinic,headache
5-aminolevulinic,cardiac disorder
5-aminolevulinic,hemianopia
5-aminolevulinic,hemiparesis
5-aminolevulinic,haemorrhage
5-aminolevulinic,haemoglobin
5-aminolevulinic,herpes simplex
5-aminolevulinic,hyperpathia
5-aminolevulinic,hyperaesthesia
5-aminolevulinic,hypoaesthesia
5-aminolevulinic,hypotension
5-aminolevulinic,leukocytosis
5-aminolevulinic,nausea
5-aminolevulinic,neoplasm
5-aminolevulinic,nervous system disorder
5-aminolevulinic,nervousness
5-aminolevulinic,tension
5-aminolevulinic,pain
5-aminolevulinic,paraesthesia
5-aminolevulinic,petechiae
5-aminolevulinic,pruritus
5-aminolevulinic,respiratory insufficiency
5-aminolevulinic,respiratory failure
5-aminolevulinic,seborrhoeic dermatitis
5-aminolevulinic,convulsion
5-aminolevulinic,skin disorder
5-aminolevulinic,sunburn
5-aminolevulinic,photosensitivity reaction
5-aminolevulinic,thrombocytopenia
5-aminolevulinic,thromboembolism
5-aminolevulinic,embolism
5-aminolevulinic,embolism venous
5-aminolevulinic,ulcer
5-aminolevulinic,erythema
5-aminolevulinic,angiopathy
5-aminolevulinic,vomiting
5-aminolevulinic,chills
5-aminolevulinic,rash pustular
5-aminolevulinic,application site reaction
5-aminolevulinic,gamma-glutamyltransferase increased
5-aminolevulinic,skin hypertrophy
5-aminolevulinic,aspartate aminotransferase increased
5-aminolevulinic,alanine aminotransferase increased
5-aminolevulinic,dry skin
5-aminolevulinic,eyelid oedema
5-aminolevulinic,skin hyperpigmentation
5-aminolevulinic,leukoderma
5-aminolevulinic,unspecified disorder of skin and subcutaneous tissue
5-aminolevulinic,scab
5-aminolevulinic,welts
5-aminolevulinic,urticaria
5-aminolevulinic,discomfort
5-aminolevulinic,tenderness
5-aminolevulinic,skin exfoliation
5-aminolevulinic,pustule
5-aminolevulinic,skin tightness
5-aminolevulinic,hepatobiliary disease
5-aminolevulinic,blood bilirubin increased
5-aminolevulinic,induration
5-aminolevulinic,photosensitivity
5-aminolevulinic,warmth
5-aminolevulinic,feeling hot
5-aminolevulinic,dysaesthesia
5-aminolevulinic,wound secretion
5-aminolevulinic,rash maculo-papular
5-aminolevulinic,application site irritation
5-aminolevulinic,stinging
5-aminolevulinic,skin carcinoma
5-aminolevulinic,skin cancer
5-aminolevulinic,acne
5-aminolevulinic,infestation nos
5-aminolevulinic,infestation
5-aminolevulinic,blood and lymphatic system disorders
5-aminolevulinic,blood amylase increased
5-aminolevulinic,amylase increased
5-aminolevulinic,accidental ingestion
5-aminolevulinic,accidental exposure to product
5-aminolevulinic,hyperkeratosis
5-aminolevulinic,photodermatosis
5-aminolevulinic,brain oedema
5-aminolevulinic,photodamaged skin
leucovorin,alopecia
leucovorin,anorexia
leucovorin,decreased appetite
leucovorin,infection
leucovorin,constipation
leucovorin,dermatitis
leucovorin,diarrhoea
leucovorin,rash
leucovorin,extravasation
leucovorin,fatigue
leucovorin,asthenia
leucovorin,hypersensitivity
leucovorin,lethargy
leucovorin,leukopenia
leucovorin,nausea
leucovorin,pruritus
leucovorin,convulsion
leucovorin,stomatitis
leucovorin,thrombocytopenia
leucovorin,erythema
leucovorin,urticaria
leucovorin,vomiting
leucovorin,wheezing
leucovorin,malaise
leucovorin,discomfort
leucovorin,feeling abnormal
leucovorin,ill-defined disorder
leucovorin,anaphylactoid reaction
leucovorin,anaphylactic shock
leucovorin,serum creatinine increased
leucovorin,blood creatinine increased
leucovorin,febrile neutropenia
leucovorin,sensitisation
leucovorin,acute kidney injury
leucovorin,renal failure acute
leucovorin,body temperature increased
leucovorin,syncope
leucovorin,dizziness
leucovorin,loss of consciousness
leucovorin,shock
leucovorin,abdominal pain
leucovorin,gastrointestinal pain
leucovorin,confusional state
leucovorin,dysgeusia
leucovorin,dyspepsia
leucovorin,dyspnoea
leucovorin,gastrointestinal disorder
leucovorin,skin disorder
leucovorin,kidney function abnormal
leucovorin,renal impairment
leucovorin,abdominal pain upper
leucovorin,abdominal pain lower
leucovorin,abdominal tenderness
leucovorin,disease progression
leucovorin,caecitis
leucovorin,rigors
leucovorin,chills
leucovorin,neuropathy
leucovorin,neuropathy peripheral
5-methyltetrahydrofolate,sensitisation
pge2,abdominal pain
pge2,gastrointestinal pain
pge2,premature separation of placenta
pge2,anaphylactic shock
pge2,arrhythmia
pge2,arthralgia
pge2,musculoskeletal discomfort
pge2,asthenia
pge2,asthma
pge2,back pain
pge2,bronchospasm
pge2,chest pain
pge2,cough
pge2,dehydration
pge2,diarrhoea
pge2,disseminated intravascular coagulation
pge2,dizziness
pge2,dyspnoea
pge2,amniotic fluid embolism
pge2,anaphylactoid syndrome of pregnancy
pge2,endometritis
pge2,rash
pge2,dermatitis
pge2,foetal distress syndrome
pge2,body temperature increased
pge2,flushing
pge2,headache
pge2,cardiac arrest
pge2,foetal heart rate
pge2,hiccups
pge2,hypersensitivity
pge2,hypertension
pge2,hypotension
pge2,immune system disorder
pge2,inflammation
pge2,laryngitis
pge2,cramps of lower extremities
pge2,muscle spasms
pge2,cramp muscle
pge2,hypertonia
pge2,myocardial infarction
pge2,acute coronary syndrome
pge2,nausea
pge2,pain
pge2,paraesthesia
pge2,pharyngitis
pge2,postpartum haemorrhage
pge2,pregnancy
pge2,shivering
pge2,chills
pge2,shock
pge2,syncope
pge2,loss of consciousness
pge2,tachycardia
pge2,tremor
pge2,uterine rupture
pge2,vaginal inflammation
pge2,vaginal infection
pge2,angiopathy
pge2,vomiting
pge2,vulvitis
pge2,wheezing
pge2,bronchoconstriction
pge2,urinary retention
pge2,neck stiffness
pge2,musculoskeletal stiffness
pge2,nuchal rigidity
pge2,oedema genital
pge2,eye pain
pge2,skin discolouration
pge2,myalgia
pge2,chest tightness
pge2,chest discomfort
pge2,tension
pge2,vaginal pain
pge2,vulvovaginal pain
pge2,breast tenderness
pge2,failed induction of labour
pge2,uterine hypertonus
pge2,anaphylactoid reaction
pge2,vision blurred
pge2,postoperative infection
pge2,post procedural infection
pge2,death neonatal
pge2,vasovagal symptoms
pge2,presyncope
pge2,vaginal irritation
pge2,vulvovaginal discomfort
pge2,stillbirth
pge2,hot flush
pge2,menopausal symptoms
pge2,sweating increased
pge2,hyperhidrosis
pge2,blood and lymphatic system disorders
pge2,hearing impaired
pge2,deafness
pge2,vaginismus
prostacyclin,abdominal pain
prostacyclin,gastrointestinal pain
prostacyclin,anaphylactic shock
prostacyclin,anaemia
prostacyclin,anorexia
prostacyclin,decreased appetite
prostacyclin,anxiety
prostacyclin,arthralgia
prostacyclin,musculoskeletal discomfort
prostacyclin,arthritis
prostacyclin,ascites
prostacyclin,asthenia
prostacyclin,back pain
prostacyclin,mental disorder
prostacyclin,cellulitis
prostacyclin,neck pain
prostacyclin,chest pain
prostacyclin,collagen disorder
prostacyclin,infection
prostacyclin,connective tissue disorder
prostacyclin,constipation
prostacyclin,cough
prostacyclin,cyanosis
prostacyclin,depression
prostacyclin,diarrhoea
prostacyclin,dizziness
prostacyclin,dyspepsia
prostacyclin,dyspnoea
prostacyclin,eczema
prostacyclin,oedema
prostacyclin,endocrine disorder
prostacyclin,epistaxis
prostacyclin,rash
prostacyclin,dermatitis
prostacyclin,fatigue
prostacyclin,body temperature increased
prostacyclin,flatulence
prostacyclin,flushing
prostacyclin,gastritis
prostacyclin,gastrointestinal disorder
prostacyclin,headache
prostacyclin,cardiac disorder
prostacyclin,cardiac failure
prostacyclin,haematuria
prostacyclin,haemorrhage
prostacyclin,haemoglobin
prostacyclin,haemothorax
prostacyclin,hypercalcaemia
prostacyclin,hyperaesthesia
prostacyclin,hyperkalaemia
prostacyclin,hypersensitivity
prostacyclin,hypersplenism
prostacyclin,hyperthyroidism
prostacyclin,hypoaesthesia
prostacyclin,hypotension
prostacyclin,orthostatic hypotension
prostacyclin,cramps of lower extremities
prostacyclin,muscle spasms
prostacyclin,mediastinal disorder
prostacyclin,musculoskeletal pain
prostacyclin,myocardial infarction
prostacyclin,acute coronary syndrome
prostacyclin,nausea
prostacyclin,nervous system disorder
prostacyclin,nervousness
prostacyclin,tension
prostacyclin,pain
prostacyclin,pallor
prostacyclin,palpitations
prostacyclin,pancytopenia
