drug_idx,drug_name,x,y,predicted_target_class
0,"1,25(oh)2d3",0.7299311,-0.015024975,human_cell
1,17-hydroxyprogesterone,1.300205,0.28213155,human_cell
2,18f-fdg,-2.735474,0.047033623,fungus
3,18f-flutemetamol,-2.328511,0.17556368,bacteria
4,2-hydroxysuccinaldehyde,-0.8875911,0.08197147,human_cell
5,4-ap,-1.4774592,-0.06341839,fungus
6,4-methylpyrazole,-0.9378803,0.13984573,bacteria
7,4-pba,-0.98407626,0.015802354,human_cell
8,5-aminolevulinic,-0.088449,-0.046530947,human_cell
9,5-asa,4.4014645,0.07223375,human_cell
10,5-aza-2'-deoxycytidine,2.232147,0.16977611,human_cell
11,5-azacytidine,3.9184554,-0.07945457,human_cell
12,5-fluorocytosine,-1.1943786,-0.07151806,fungus
13,5-fu,1.5305674,-0.056124598,human_cell
14,6-mercaptopurine,-0.9484625,-0.11594525,virus
15,6-thioguanine,-1.476315,0.15407442,bacteria
16,68ga,-1.2986395,0.081900224,bacteria
17,8-mop,-0.85595846,-0.020639002,bacteria
18,a77,-0.095018625,-0.16519034,virus
19,abacavir,0.2646277,-0.03155695,human_cell
20,abacavir-lamivudine,-1.1614246,-0.12923768,virus
21,abarelix,-1.6477714,0.22104125,bacteria
22,abiraterone,-1.107398,-0.04617758,fungus
23,ac1o3ha7,-2.3559103,0.11688345,bacteria
24,acamprosate,1.057924,-0.24410444,virus
25,acarbose,-0.34650636,0.17217952,human_cell
26,acebutolol,0.073946714,0.041337818,human_cell
27,acenocoumarol,-1.0337217,0.038090035,fungus
28,acetaminophen,1.1569536,-0.11692023,human_cell
29,acetate,-2.4329967,0.05729893,fungus
30,acetazolamide,-0.9284508,-0.020697191,bacteria
31,acetohydroxamic,-1.6583037,0.0832906,bacteria
32,acetylcholine,-2.129687,0.06678698,fungus
33,acipimox,-2.0063844,0.01906757,fungus
34,acitretin,3.1110275,0.09434678,human_cell
35,aclidinium,-1.8323302,-0.0030316114,fungus
36,acth(1-39,-0.567611,0.023963481,bacteria
37,actinomycin,-0.78546643,0.048101023,bacteria
38,acyclovir,1.8232033,-0.64164126,virus
39,adapalene,-0.62408185,-0.056303814,fungus
40,adefovir,-1.1423364,-0.12027708,virus
41,adenosine,0.48504663,0.1556218,human_cell
42,afatinib,0.73009133,0.07343625,human_cell
43,agomelatine,-1.3650002,-0.09997541,virus
44,albendazole,-1.9757764,-0.027548075,fungus
45,alcaftadine,-2.3509169,-0.0036001205,fungus
46,alclometasone,-2.2627351,-0.10619369,fungus
47,alendronate,2.2298768,0.23131873,human_cell
48,alfentanil,0.6092751,0.06936305,human_cell
49,alfuzosin,0.5581901,-0.13922268,virus
50,aliskiren,-0.40589547,-0.11906347,fungus
51,allopurinol,1.8107464,-0.21427867,virus
52,almeta,-2.2432256,-0.09926137,fungus
53,almotriptan,-0.0985651,-0.13796172,virus
54,alogliptin,-2.4327374,0.029952556,fungus
55,alosetron,1.0876243,-0.04011877,human_cell
56,alpha-methyl-p-tyrosine,-1.5183678,0.09079468,bacteria
57,alprazolam,1.701525,-0.09327373,human_cell
58,alvimopan,-2.5356798,0.0019971281,fungus
59,alx,-1.5389743,-0.07716063,fungus
60,amantadine,0.30461907,-0.074887544,virus
61,ambrisentan,-0.14714599,-0.10718334,virus
62,amcinonide,-1.6601236,-0.15847561,virus
63,amd3100,-0.77588606,-0.0598581,virus
64,amifostine,-0.957814,-0.009236008,bacteria
65,amikacin,-1.6581678,0.0067173988,bacteria
66,amiloride,-0.49358606,0.15533793,bacteria
67,aminoglutethimide,-1.552336,0.12647268,bacteria
68,aminophylline,-0.3001449,0.057596967,human_cell
69,amiodarone,3.1416428,0.35524362,human_cell
70,amisulpride,-0.6435404,0.01994358,bacteria
71,amitriptyline,0.34150863,-0.015737996,human_cell
72,amlexanox,-2.3653283,0.019992143,fungus
73,amlodipine,0.038866997,-0.15488946,virus
74,ammonia,-2.412734,0.07406569,fungus
75,ammonium,-2.555571,0.049900174,fungus
76,amobarbital,-1.4705272,-0.044751436,virus
77,amorolfine,-2.5202754,-0.019666374,fungus
78,amoxapine,0.21338248,0.03983514,human_cell
79,amoxicillin,-0.4815414,0.042608216,bacteria
80,amphetamine,1.1688459,0.13455987,human_cell
81,amphotericin,2.9581263,-0.28959778,human_cell
82,ampicillin,-1.9335738,0.008008137,bacteria
83,amprenavir,-0.6412103,-0.050161764,bacteria
84,amsacrine,-0.41922116,-0.14586851,virus
85,anagrelide,0.47443128,-0.16831508,virus
86,anastrozole,0.35989404,-0.043909833,human_cell
87,anidulafungin,-0.19452238,-0.14150336,fungus
88,anthracycline,0.6313684,-0.14569867,virus
89,apas,-1.168684,-0.010760009,bacteria
90,apixaban,1.9396489,-0.0017124414,human_cell
91,apomorphine,-1.152436,0.0079677105,bacteria
92,apraclonidine,0.19373727,-0.060901985,virus
93,apremilast,-2.1306236,-0.029849574,fungus
94,aprepitant,1.802798,-0.1875411,human_cell
95,argatroban,-0.710613,0.008000225,bacteria
96,argenine,-1.7283287,0.1320243,bacteria
97,arginine,-0.91175056,0.2325811,bacteria
98,aripiprazole,11.57195,0.44398904,human_cell
99,arsenic,1.0897939,-0.18282375,virus
100,articaine,-0.4762683,0.048160017,human_cell
101,ascorbate,-2.6483617,0.06667876,fungus
102,asenapine,-0.19785905,-0.06559837,virus
103,asp-tyr(so3h)-met-gly-trp-met-asp-phe-nh2,-1.52582,0.02555193,bacteria
104,aspirin,-0.12744331,0.07954876,human_cell
105,atazanavir,2.202006,-0.09560937,human_cell
106,atenolol,0.8209851,0.046103224,human_cell
107,atomoxetine,0.94434524,-0.16851985,virus
108,atorvastatin,0.919328,-0.25311282,virus
109,atosiban,-1.764385,-0.012155443,fungus
110,atovaquone,-1.2842181,-0.117865235,virus
111,atracurium,-1.1825283,0.045070842,bacteria
112,atropine,3.5170748,0.1672022,human_cell
113,auranofin,-1.4372096,-0.059211582,fungus
114,avanafil,0.16200995,-0.020471334,human_cell
115,axitinib,-0.099155664,-0.08707586,virus
116,azarga,-0.2340908,-0.013220683,virus
117,azathioprine,0.2079885,-0.009187624,human_cell
118,azelaic,-1.4974713,-0.036407635,fungus
119,azelastine,0.15333056,-0.09059036,human_cell
120,azilsartan,-1.9719367,-0.04947634,fungus
121,azithromycin,1.2412713,-0.09582627,human_cell
122,aztreonam,-0.7088132,-0.07732579,virus
123,baclofen,1.3149512,-0.22207123,virus
124,balsalazide,-0.68120456,-0.13298142,virus
125,barium,-0.76574993,0.43954256,bacteria
126,bazedoxifene,-1.6995571,-0.062799394,fungus
127,bcnu,1.1319501,-0.0084307045,human_cell
128,beclomethasone,-0.4989357,0.06387895,bacteria
129,belinostat,-1.7834206,-0.023006722,fungus
130,benazepril,-0.3406279,-0.09689346,virus
131,benazeprilat,-1.0100584,-0.08869994,virus
132,bendamustine,-0.3606887,-0.16582558,virus
133,bendrofluazide,-1.023557,0.2775799,bacteria
134,benicar-hct,-1.0422807,-0.08321881,fungus
135,benzathine,0.35479283,0.2820982,bacteria
136,benzocaine,-1.6016073,0.3735747,bacteria
137,benzonatate,-1.8407979,-0.005556956,fungus
138,benzoyl,-2.0217063,0.0113194585,fungus
139,benzphetamine,-1.7295516,0.10100497,bacteria
140,benztropine,-1.5133226,0.07093968,bacteria
141,benzydamine,-2.225946,0.048100546,fungus
142,benzyl,-0.9674556,0.074960835,bacteria
143,benzylpenicilloyl,-1.9677377,0.05711201,bacteria
144,bepotastine,-2.5907142,0.07824818,fungus
145,bepridil,-1.0410578,0.0020003617,bacteria
146,besifloxacin,-2.6064558,0.07792975,fungus
147,betahistine,-1.6252694,-0.016707256,fungus
148,betaine,-0.84852195,0.13944045,human_cell
149,betamethasone,-1.1764102,-0.12579504,fungus
150,betaxolol,1.5781834,-0.19297156,virus
151,bethanechol,-1.4977975,0.07958418,bacteria
152,bexarotene,1.7300351,-0.324208,virus
153,bezafibrate,-1.4499478,-0.09588969,fungus
154,bicalutamide,0.63144946,-0.22236133,virus
155,bicarbonate,-1.6980674,-0.012538403,fungus
156,biguanide,-2.6402628,0.18043289,bacteria
157,bile,-2.1819587,0.0011298656,fungus
158,bimatoprost,1.8194249,0.29389518,human_cell
159,bisacodyl,-1.6215627,0.14400764,bacteria
160,bisoprolol,1.379883,-0.041819096,human_cell
